Скважина;Пласт РИГИС;Пластпропласт;Глубина кровли пласта;Толщина;Абсолютная глубина;Абсолютная толщина;Литология;Коллектор
455;Ю1-3-4;Ю1-3-4;2 965.80;0.80;2 599.34;0.79;SAND_GL;да
173;Ю1-3-4;Ю1-3-4;3 575.40;0.60;2 599.36;0.58;SAND_GL;да
433;Ю1-3-4;Ю1-3-4;2 870.80;1.80;2 599.36;1.80;SAND_GL;да
161;Ю1-3-4;Ю1-3-4;3 030.60;2.80;2 599.37;2.78;ARGILLIT;нет
189;Ю1-3-4;Ю1-3-4;3 122.80;2.20;2 599.40;2.16;SAND;да
215ST2;Ю1-3-4;Ю1-3-4;3 487.40;0.40;2 599.43;0.39;DENSE;нет
248;Ю1-3-4;Ю1-3-4;3 021.40;0.60;2 599.44;0.58;SAND_GL;да
202;Ю1-3-4;Ю1-3-4;3 207.80;0.60;2 599.48;0.59;DENSE;нет
428;Ю1-3-4;Ю1-3-4;3 015.40;1.00;2 599.48;1.00;SAND_GL;да
233;Ю1-3-4;Ю1-3-4;3 493.60;0.40;2 599.54;0.38;ALEVROLIT;да
303;Ю1-3-4;Ю1-3-4;3 209.20;0.80;2 599.57;0.80;SAND_GL;да
600ST2;Ю1-3-4;Ю1-3-4;3 569.00;1.80;2 599.61;1.74;SAND;да
200;Ю1-3-4;Ю1-3-4;3 365.00;2.00;2 599.63;1.94;SAND_GL;да
362;Ю1-3-4;Ю1-3-4;3 020.60;2.00;2 599.67;2.00;ARGILLIT;нет
166;Ю1-3-4;Ю1-3-4;3 444.20;0.80;2 599.69;0.79;ARGILLIT;нет
242;Ю1-3-4;Ю1-3-4;3 062.40;0.60;2 599.70;0.59;ALEVROLIT;да
140;Ю1-3-4;Ю1-3-4;2 953.80;0.60;2 599.71;0.60;SAND_SL_PR;да
144;Ю1-3-4;Ю1-3-4;2 858.60;0.80;2 599.75;0.80;ARGILLIT;нет
329;Ю1-3-4;Ю1-3-4;3 175.40;0.40;2 599.79;0.39;ARGILLIT;нет
215ST2;Ю1-3-4;Ю1-3-4;3 487.80;1.20;2 599.82;1.18;DENSE;нет
603;Ю1-3-4;Ю1-3-4;3 479.00;0.60;2 599.84;0.59;ARGILLIT;нет
157;Ю1-3-4;Ю1-3-4;3 212.00;0.80;2 599.90;0.78;SAND;да
298R;Ю1-3-4;Ю1-3-4;2 701.90;0.90;2 599.90;0.90;DENSE;нет
336;Ю1-3-4;Ю1-3-4;3 253.80;0.60;2 599.90;0.59;ALEVROLIT;да
233;Ю1-3-4;Ю1-3-4;3 494.00;2.00;2 599.92;1.95;SAND_GL;да
173;Ю1-3-4;Ю1-3-4;3 576.00;0.60;2 599.94;0.58;ALEVROLIT;да
248;Ю1-3-4;Ю1-3-4;3 022.00;0.40;2 600.02;0.39;ALEVROLIT;да
184;Ю1-3-4;Ю1-3-4;3 543.60;1.40;2 600.03;1.38;DENSE;нет
321;Ю1-3-4;Ю1-3-4;2 898.60;0.80;2 600.05;0.77;ARGILLIT;нет
202;Ю1-3-4;Ю1-3-4;3 208.40;0.40;2 600.07;0.40;SAND;да
455;Ю1-3-4;Ю1-3-4;2 966.60;0.80;2 600.13;0.79;ALEVROLIT;да
329;Ю1-3-4;Ю1-3-4;3 175.80;0.40;2 600.18;0.39;DENSE;нет
201;Ю1-3-4;Ю1-3-4;3 388.20;0.40;2 600.26;0.39;ALEVROLIT;да
242;Ю1-3-4;Ю1-3-4;3 063.00;1.80;2 600.29;1.78;SAND_GL;да
140;Ю1-3-4;Ю1-3-4;2 954.40;0.60;2 600.31;0.60;ALEVROLIT;да
193;Ю1-3-4;Ю1-3-4;3 405.00;0.60;2 600.36;0.59;ALEVROLIT;да
303;Ю1-3-4;Ю1-3-4;3 210.00;0.60;2 600.37;0.60;ALEVROLIT;да
155;Ю1-3-4;Ю1-3-4;3 412.40;0.60;2 600.40;0.58;DENSE;нет
248;Ю1-3-4;Ю1-3-4;3 022.40;2.60;2 600.41;2.55;SAND_ALEV;да
603;Ю1-3-4;Ю1-3-4;3 479.60;0.40;2 600.43;0.40;DENSE;нет
207;Ю1-3-4;Ю1-3-4;3 100.00;0.60;2 600.44;0.60;DENSE;нет
202;Ю1-3-4;Ю1-3-4;3 208.80;0.60;2 600.47;0.59;DENSE;нет
206;Ю1-3-4;Ю1-3-4;3 544.40;2.20;2 600.47;2.17;SAND_GL;да
166;Ю1-3-4;Ю1-3-4;3 445.00;0.80;2 600.48;0.78;DENSE;нет
428;Ю1-3-4;Ю1-3-4;3 016.40;0.60;2 600.48;0.60;SAND_GL;да
336;Ю1-3-4;Ю1-3-4;3 254.40;0.80;2 600.49;0.79;SAND_GL;да
173;Ю1-3-4;Ю1-3-4;3 576.60;0.40;2 600.52;0.39;COAL;нет
7PO;Ю1-3-4;Ю1-3-4;2 724.80;0.80;2 600.55;0.80;SAND_ALEV;да
329;Ю1-3-4;Ю1-3-4;3 176.20;1.80;2 600.57;1.76;ARGILLIT;нет
201;Ю1-3-4;Ю1-3-4;3 388.60;0.60;2 600.65;0.59;SAND_GL;да
157;Ю1-3-4;Ю1-3-4;3 212.80;0.40;2 600.68;0.39;ARGILLIT;нет
644;Ю1-3-4;Ю1-3-4;2 765.00;2.20;2 600.78;2.19;SAND_GL;да
298R;Ю1-3-4;Ю1-3-4;2 702.80;8.20;2 600.80;8.20;ARGILLIT;нет
321;Ю1-3-4;Ю1-3-4;2 899.40;0.40;2 600.82;0.39;ALEVROLIT;да
117;Ю1-3-4;Ю1-3-4;3 054.00;1.70;2 600.83;1.68;SAND_GL;да
603;Ю1-3-4;Ю1-3-4;3 480.00;0.40;2 600.83;0.40;DENSE;нет
213;Ю1-3-4;Ю1-3-4;3 566.00;0.40;2 600.89;0.39;ALEVROLIT;да
238;Ю1-3-4;Ю1-3-4;3 628.80;1.20;2 600.90;1.15;SAND_GL;да
173;Ю1-3-4;Ю1-3-4;3 577.00;1.20;2 600.91;1.16;SAND_GL;да
455;Ю1-3-4;Ю1-3-4;2 967.40;0.60;2 600.92;0.59;ARGILLIT;нет
193;Ю1-3-4;Ю1-3-4;3 405.60;0.80;2 600.95;0.78;SAND_GL;да
602;Ю1-3-4;Ю1-3-4;3 545.40;4.00;2 600.96;3.45;SAND;да
303;Ю1-3-4;Ю1-3-4;3 210.60;0.80;2 600.97;0.79;ALEVROLIT;да
155;Ю1-3-4;Ю1-3-4;3 413.00;1.20;2 600.98;1.17;SAND_GL;да
215ST2;Ю1-3-4;Ю1-3-4;3 489.00;0.60;2 601.00;0.60;DENSE;нет
207;Ю1-3-4;Ю1-3-4;3 100.60;1.40;2 601.04;1.40;SAND_GL;да
202;Ю1-3-4;Ю1-3-4;3 209.40;0.60;2 601.06;0.59;SAND;да
240;Ю1-3-4;Ю1-3-4;3 567.40;0.80;2 601.06;0.69;DENSE;нет
157;Ю1-3-4;Ю1-3-4;3 213.20;1.20;2 601.07;1.17;SAND;да
145;Ю1-3-4;Ю1-3-4;3 001.40;2.60;2 601.08;2.60;ARGILLIT;нет
428;Ю1-3-4;Ю1-3-4;3 017.00;0.80;2 601.08;0.80;ALEVROLIT;да
433;Ю1-3-4;Ю1-3-4;2 872.60;0.60;2 601.16;0.60;SAND_GL;да
244;Ю1-3-4;Ю1-3-4;3 622.80;3.20;2 601.21;3.10;ARGILLIT;нет
603;Ю1-3-4;Ю1-3-4;3 480.40;1.20;2 601.23;1.18;SAND_UPLOT;да
201;Ю1-3-4;Ю1-3-4;3 389.20;1.00;2 601.24;0.98;SAND_UPLOT;да
166;Ю1-3-4;Ю1-3-4;3 445.80;0.60;2 601.26;0.59;ARGILLIT;нет
213;Ю1-3-4;Ю1-3-4;3 566.40;1.40;2 601.28;1.37;SAND;да
600ST2;Ю1-3-4;Ю1-3-4;3 570.80;0.40;2 601.35;0.39;DENSE;нет
7PO;Ю1-3-4;Ю1-3-4;2 725.60;1.40;2 601.35;1.40;SAND_GL;да
184;Ю1-3-4;Ю1-3-4;3 545.00;0.80;2 601.41;0.78;ALEVROLIT;да
455;Ю1-3-4;Ю1-3-4;2 968.00;2.40;2 601.51;1.98;ARGILLIT;нет
189;Ю1-3-4;Ю1-3-4;3 125.00;0.40;2 601.56;0.39;ALEVROLIT;да
200;Ю1-3-4;Ю1-3-4;3 367.00;0.80;2 601.57;0.78;ALEVROLIT;да
215ST2;Ю1-3-4;Ю1-3-4;3 489.60;0.40;2 601.60;0.39;SAND_GL;да
162;Ю1-3-4;Ю1-3-4;3 261.20;1.20;2 601.64;1.17;ALEVROLIT;да
202;Ю1-3-4;Ю1-3-4;3 210.00;0.80;2 601.65;0.79;SAND_UPLOT;да
362;Ю1-3-4;Ю1-3-4;3 022.60;1.80;2 601.67;1.80;ARGILLIT;нет
241;Ю1-3-4;Ю1-3-4;2 903.00;1.00;2 601.70;0.94;SAND_GL;да
193;Ю1-3-4;Ю1-3-4;3 406.40;0.60;2 601.73;0.59;ALEVROLIT;да
600ST2;Ю1-3-4;Ю1-3-4;3 571.20;0.60;2 601.74;0.58;SAND;да
240;Ю1-3-4;Ю1-3-4;3 568.20;2.80;2 601.75;2.43;SAND_GL;да
166;Ю1-3-4;Ю1-3-4;3 446.40;1.60;2 601.85;1.57;ALEVROLIT;да
